,Month_Start,VIX,CFFCI_Risk,High_Yield_Credit_Spread,AAII_Bull,AAII_Bear,AAII_N,UMich
165,1966-08-01,,,,,,,91.2
166,1966-09-01,,,,,,,0.0
167,1966-10-01,,,,,,,0.0
168,1966-11-01,,,,,,,88.3
169,1966-12-01,,,,,,,0.0
170,1967-01-01,,,,,,,0.0
171,1967-02-01,,,,,,,94.1
172,1967-03-01,,,,,,,0.0
173,1967-04-01,,,,,,,0.0
174,1967-05-01,,,,,,,95.9
175,1967-06-01,,,,,,,0.0
176,1967-07-01,,,,,,,0.0
177,1967-08-01,,,,,,,97.0
178,1967-09-01,,,,,,,0.0
179,1967-10-01,,,,,,,0.0
180,1967-11-01,,,,,,,92.9
181,1967-12-01,,,,,,,0.0
182,1968-01-01,,,,,,,0.0
183,1968-02-01,,,,,,,97.2
184,1968-03-01,,,,,,,0.0
185,1968-04-01,,,,,,,0.0
186,1968-05-01,,,,,,,92.4
187,1968-06-01,,,,,,,0.0
188,1968-07-01,,,,,,,0.0
189,1968-08-01,,,,,,,92.4
190,1968-09-01,,,,,,,0.0
191,1968-10-01,,,,,,,0.0
192,1968-11-01,,,,,,,91.7
193,1968-12-01,,,,,,,0.0
194,1969-01-01,,,,,,,0.0
195,1969-02-01,,,,,,,98.2
196,1969-03-01,,,,,,,0.0
197,1969-04-01,,,,,,,0.0
198,1969-05-01,,,,,,,91.5
199,1969-06-01,,,,,,,0.0
200,1969-07-01,,,,,,,0.0
201,1969-08-01,,,,,,,86.4
202,1969-09-01,,,,,,,0.0
203,1969-10-01,,,,,,,0.0
204,1969-11-01,,,,,,,79.7
205,1969-12-01,,,,,,,0.0
206,1970-01-01,,,,,,,0.0
207,1970-02-01,,,,,,,78.1
208,1970-03-01,,,,,,,0.0
209,1970-04-01,,,,,,,0.0
210,1970-05-01,,,,,,,75.4
211,1970-06-01,,,,,,,0.0
212,1970-07-01,,,,,,,0.0
213,1970-08-01,,,,,,,77.6
214,1970-09-01,,,,,,,0.0
215,1970-10-01,,,,,,,0.0
216,1970-11-01,,,,,,,72.4
217,1970-12-01,,,,,,,0.0
218,1971-01-01,,,,,,,0.0
219,1971-02-01,,,,,,,78.1
220,1971-03-01,,,,,,,0.0
221,1971-04-01,,,,,,,0.0
222,1971-05-01,,,,,,,80.2
223,1971-06-01,,,,,,,0.0
224,1971-07-01,,,,,,,0.0
225,1971-08-01,,,,,,,82.1
226,1971-09-01,,,,,,,0.0
227,1971-10-01,,,,,,,0.0
228,1971-11-01,,,,,,,82.0
229,1971-12-01,,,,,,,0.0
230,1972-01-01,,,,,,,0.0
231,1972-02-01,,,,,,,92.8
232,1972-03-01,,,,,,,0.0
233,1972-04-01,,,,,,,0.0
234,1972-05-01,,,,,,,88.6
235,1972-06-01,,,,,,,0.0
236,1972-07-01,,,,,,,0.0
237,1972-08-01,,,,,,,95.2
238,1972-09-01,,,,,,,0.0
239,1972-10-01,,,,,,,0.0
240,1972-11-01,,,,,,,90.7
241,1972-12-01,,,,,,,0.0
242,1973-01-01,,,,,,,0.0
243,1973-02-01,,,,,,,81.9
244,1973-03-01,,,,,,,0.0
245,1973-04-01,,,,,,,0.0
246,1973-05-01,,,,,,,77.0
247,1973-06-01,,,,,,,0.0
248,1973-07-01,,,,,,,0.0
249,1973-08-01,,,,,,,72.0
250,1973-09-01,,,,,,,0.0
251,1973-10-01,,,,,,,0.0
